Company,Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating
Microsoft,2025,281724,101832,619003,275524,136162
Microsoft,2024,245122,88136,512163,243686,118548
Microsoft,2023,211915,72361,411976,205753,87582
Tesla,2025,94827,3855,137806,54941,14747
Tesla,2024,97690,7153,122070,48390,14923
Tesla,2023,96773,14974,106618,43009,13256
Apple,2025,416161,112010,359241,285508,111482
Apple,2024,391035,93736,364980,308030,118254
Apple,2023,383285,96995,352583,290437,110543
Amazon,2025,650000,45000,600000,350000,90000
Amazon,2024,574785,30425,527854,309000,84946
Amazon,2023,513983,-2722,462675,282000,46752
Google,2025,340000,85000,420000,130000,110000
Google,2024,307394,73795,402392,120000,101746
Google,2023,282836,59972,365264,107000,91701
Meta,2025,170000,50000,230000,70000,65000
Meta,2024,134902,39098,229000,65000,71379
Meta,2023,116609,39098,185727,60000,71379
NVIDIA,2025,120000,60000,180000,50000,70000
NVIDIA,2024,60922,29760,65728,22000,28000
NVIDIA,2023,26974,4368,41182,18000,5500
Netflix,2025,45000,8000,55000,25000,9000
Netflix,2024,33723,5408,48734,23000,7200
Netflix,2023,31615,5407,45900,21000,6600
Intel,2025,65000,12000,200000,90000,30000
Intel,2024,54228,1680,191572,87000,15000
Intel,2023,63100,8000,182000,85000,22000
AMD,2025,35000,9000,90000,40000,12000
AMD,2024,22680,854,67100,30000,4000
AMD,2023,23601,1316,67800,29000,3800
IBM,2025,70000,10000,150000,110000,18000
IBM,2024,61860,7500,140000,105000,16000
IBM,2023,60530,7502,135000,102000,15000
Oracle,2025,60000,14000,160000,90000,20000
Oracle,2024,52961,8503,140976,80000,18000
Oracle,2023,49954,6700,136000,78000,16000
Salesforce,2025,45000,10000,120000,60000,15000
Salesforce,2024,34860,4100,95000,50000,12000
Salesforce,2023,31352,208,88000,47000,9000
